zone,avg_jjas_pct_departure,pct_deficient_years,pct_excess_years,n_subdivisions
East,-3.5727894122645965,37.274220032840724,20.361247947454846,9
North,-0.5436766954665634,36.554621848739494,31.932773109243694,7
South,2.3065537433180983,27.941176470588236,33.82352941176471,9
West,0.7495590182703686,33.68983957219251,33.288770053475936,11
