month,SUBDIVISION,n,baseline_rmse,model_rmse,improvement
JUN,Andaman & Nicobar Islands,67,28.224906934899533,28.738182796315275,-0.5132758614157424
JUN,Arunachal Pradesh,64,31.792522799615774,31.66542170206234,0.12710109755343524
JUN,Assam & Meghalaya,67,21.973224006296775,22.829896512868686,-0.8566725065719112
JUN,Bihar,67,37.81529906475029,35.60015540556118,2.21514365918911
JUN,Chhattisgarh,67,40.355916166139814,41.059068478422134,-0.7031523122823202
JUN,Coastal Andhra Pradesh,67,41.79950025061426,43.252774452944806,-1.4532742023305474
JUN,Coastal Karnataka,67,23.629314952526943,24.278558791536586,-0.6492438390096424
JUN,East Madhya Pradesh,67,58.26792600395251,57.535412362421475,0.7325136415310354
JUN,East Rajasthan,67,59.334745162199816,60.88299899810818,-1.548253835908362
JUN,East Uttar Pradesh,67,60.97989177775756,59.70061668233909,1.2792750954184697
JUN,Gangetic West Bengal,67,40.10484216705248,40.12400340266881,-0.01916123561633043
JUN,Gujarat Region,67,70.73043674835442,70.91785917433108,-0.18742242597666348
JUN,Haryana Delhi & Chandigarh,67,67.6162815504735,65.8740285078725,1.742253042601007
JUN,Himachal Pradesh,67,52.6020385383332,50.38474214434004,2.217296393993159
JUN,Jammu & Kashmir,67,54.12113571931278,53.4823974587984,0.6387382605143799
JUN,Jharkhand,67,43.640011198381934,43.70741165489111,-0.06740045650917637
JUN,Kerala,67,28.960996102584705,30.175185514203786,-1.2141894116190812
JUN,Konkan & Goa,67,25.769790915648553,26.41479395815806,-0.6450030425095079
JUN,Lakshadweep,67,31.54480933155883,31.2243225370747,0.32048679448413253
JUN,Madhya Maharashtra,67,39.01049802636888,39.016376323154205,-0.0058782967853261425
JUN,Matathwada,67,39.37962492513506,40.75950218202242,-1.3798772568873616
JUN,Naga Mani Mizo Tripura,67,29.370937217447576,30.055897612901507,-0.6849603954539312
JUN,North Interior Karnataka,67,37.11943194791746,37.48880058111802,-0.36936863320055835
JUN,Orissa,67,32.29287239875954,32.25539734890428,0.03747504985526007
JUN,Punjab,67,75.11517055439082,71.5182783524377,3.5968922019531107
JUN,Rayalseema,67,62.989812029541994,64.80140058709436,-1.8115885575523691
JUN,Saurashtra & Kutch,67,83.61348576272798,84.82999032864393,-1.2165045659159546
JUN,South Interior Karnataka,67,35.034646517132,35.905013358474406,-0.8703668413424026
JUN,Sub Himalayan West Bengal & Sikkim,67,22.713591165478565,22.908789002514037,-0.19519783703547233
JUN,Tamil Nadu,67,41.64307723647778,43.590926261939536,-1.9478490254617569
JUN,Telangana,67,37.7306778517069,39.245860028251336,-1.5151821765444353
JUN,Uttarakhand,67,50.34947982347809,49.62509958956271,0.7243802339153831
JUN,Vidarbha,67,40.90706517289435,41.4237599929869,-0.5166948200925532
JUN,West Madhya Pradesh,67,51.83757556048739,52.603105708484925,-0.7655301479975378
JUN,West Rajasthan,67,85.17949177166463,87.7378431741348,-2.5583514024701657
JUN,West Uttar Pradesh,67,63.420000838959865,63.054130564384,0.36587027457586174
JUL,Andaman & Nicobar Islands,67,36.41785396407037,38.38301026113381,-1.9651562970634444
JUL,Arunachal Pradesh,64,35.46263310207908,33.335798568380554,2.1268345336985277
JUL,Assam & Meghalaya,67,26.883268525793934,26.60838405417316,0.2748844716207728
JUL,Bihar,67,32.225241589413095,31.636309510790795,0.5889320786222996
JUL,Chhattisgarh,67,21.86483497305487,22.66927388806265,-0.8044389150077826
JUL,Coastal Andhra Pradesh,67,33.25838878004717,33.49659338202781,-0.23820460198064097
JUL,Coastal Karnataka,67,26.37945345363858,27.699315471583525,-1.3198620179449456
JUL,East Madhya Pradesh,67,26.57672274917692,27.25284387483289,-0.6761211256559712
JUL,East Rajasthan,67,35.727661527455716,36.45592903253938,-0.7282675050836644
JUL,East Uttar Pradesh,67,33.68164146342717,33.74185652621695,-0.06021506278977995
JUL,Gangetic West Bengal,67,29.573685643498628,29.973936378094503,-0.40025073459587546
JUL,Gujarat Region,67,39.49184690227134,41.180584299748126,-1.6887373974767854
JUL,Haryana Delhi & Chandigarh,67,49.74922539136435,51.23513127307081,-1.485905881706465
JUL,Himachal Pradesh,67,30.891598637750352,30.735599456790077,0.15599918096027565
JUL,Jammu & Kashmir,66,51.39107119952378,52.73401556685325,-1.3429443673294728
JUL,Jharkhand,67,24.877880387342188,25.660470712308623,-0.782590324966435
JUL,Kerala,67,32.138802533190464,33.791302463730474,-1.65249993054001
JUL,Konkan & Goa,67,23.262804837225897,23.872907589236537,-0.6101027520106399
JUL,Lakshadweep,67,42.89821926586382,44.53013627408061,-1.6319170082167886
JUL,Madhya Maharashtra,67,29.30629264785571,30.31000857295208,-1.003715925096369
JUL,Matathwada,67,44.001883127391324,44.435617408026516,-0.4337342806351927
JUL,Naga Mani Mizo Tripura,67,30.193655628207733,30.904328176951587,-0.7106725487438545
JUL,North Interior Karnataka,67,38.2168945372787,39.498904481588305,-1.282009944309607
JUL,Orissa,67,23.551293538889237,24.334336700673397,-0.7830431617841604
JUL,Punjab,67,41.29292010041726,40.38337943207643,0.9095406683408314
JUL,Rayalseema,67,49.07559447489712,48.50102037401624,0.5745741008808807
JUL,Saurashtra & Kutch,67,62.88669736974326,65.52251969791566,-2.635822328172395
JUL,South Interior Karnataka,67,32.76279244850105,34.20112649601124,-1.438334047510189
JUL,Sub Himalayan West Bengal & Sikkim,67,24.571662592166113,24.135082542757853,0.4365800494082599
JUL,Tamil Nadu,67,44.721031206298456,44.76808519419399,-0.04705398789553783
JUL,Telangana,67,42.00662766561002,41.541928547228444,0.4646991183815743
JUL,Uttarakhand,67,24.61366155066435,25.25830941995322,-0.6446478692888711
JUL,Vidarbha,67,28.37297238734187,29.814388061256402,-1.4414156739145305
JUL,West Madhya Pradesh,67,31.336775232667094,31.478507523617438,-0.141732290950344
JUL,West Rajasthan,67,57.903495983789604,60.17462330687396,-2.2711273230843574
JUL,West Uttar Pradesh,67,34.14639286668954,35.42685101369728,-1.2804581470077423
AUG,Andaman & Nicobar Islands,67,29.025737887900878,30.049897049141084,-1.0241591612402061
AUG,Arunachal Pradesh,64,55.26036496926899,57.01973125059037,-1.7593662813213768
AUG,Assam & Meghalaya,67,26.284787757903626,27.313663064141252,-1.0288753062376266
AUG,Bihar,67,26.50965976689074,27.488054498633193,-0.9783947317424548
AUG,Chhattisgarh,67,19.584775043049323,20.08450867767964,-0.49973363463031717
AUG,Coastal Andhra Pradesh,67,34.24992632512072,34.94151097124345,-0.6915846461227346
AUG,Coastal Karnataka,67,33.32880660287018,34.911697881638595,-1.5828912787684146
AUG,East Madhya Pradesh,67,28.312239894376994,29.3424352581199,-1.030195363742905
AUG,East Rajasthan,67,37.82251183543126,37.869523398376806,-0.0470115629455492
AUG,East Uttar Pradesh,67,29.856792395352986,30.60240979189126,-0.7456173965382753
AUG,Gangetic West Bengal,67,28.34541187603663,29.558379458772997,-1.2129675827363684
AUG,Gujarat Region,67,51.866152235309066,53.2949650963357,-1.4288128610266355
AUG,Haryana Delhi & Chandigarh,67,55.354532070414045,55.63925494235688,-0.28472287194283297
AUG,Himachal Pradesh,67,28.144913741863647,29.2769606448309,-1.1320469029672537
AUG,Jammu & Kashmir,67,43.987852954374404,45.71211075641411,-1.724257802039709
AUG,Jharkhand,67,22.76628024178113,23.7939343317134,-1.0276540899322733
AUG,Kerala,67,28.137189746146536,29.271969203682758,-1.1347794575362222
AUG,Konkan & Goa,67,37.37757505323607,37.644206570032786,-0.26663151679671415
AUG,Lakshadweep,67,46.723753102133486,48.29436278916395,-1.570609687030462
AUG,Madhya Maharashtra,67,35.558416198036085,35.77950276661748,-0.22108656858139852
AUG,Matathwada,67,55.31699551124915,54.80931916284171,0.5076763484074363
AUG,Naga Mani Mizo Tripura,67,36.89465374670612,36.881866044312694,0.012787702393424638
AUG,North Interior Karnataka,67,42.533158608295466,44.39904270458527,-1.865884096289804
AUG,Orissa,67,23.603111939664256,24.082095124964045,-0.4789831852997892
